brand,model,release_year,release_month,website_views,website_likes,display_size,display_pixel_width,display_pixel_height,camera_megapixels,video_pixels,memory_gb_size,ram_gb_size,battery_mah_size,network_types,dimension_height,dimension_width,dimension_thickness,os,chipset,cpu,gpu,memory_slot,loudspeaker,audiojack,wifi,bluetooth,gps,radio,price
ZTE,Axon 9 Pro,2018,August,"423,284",95,6.21,1080,2248,12,2160p,128GB,6GB,4000,GSM / HSPA / LTE,156.5,74.5,7.9,"Android 8.1 (Oreo), Android One",Qualcomm SDM845 Snapdragon 845 (10 nm),Octa-core (4x2.65 GHz Kryo 385 Gold & 4x1.76 GHz Kryo 385 Silver),Adreno 630,microSDXC,Yes,No,Wi-Fi,v5.,Yes,No,650
ZTE,nubia Z18,2018,September,"535,611",94,5.99,1080,2160,24,2160p,64GB,6GB,3450,GSM / CDMA / HSPA / EVDO / LTE,148.6,72.6,8.6,"Android 8.1 (Oreo), nubia UI 6",Qualcomm SDM845 Snapdragon 845 (10 nm),Octa-core (4x2.65 GHz Kryo 385 Gold & 4x1.8 GHz Kryo 385 Silver),Adreno 630,No,Yes,No,Wi-Fi,5.0,Yes,No,400
ZTE,nubia X,2018,October,"786,137",189,6.26,1080,2280,16,2160p,64GB,6GB,3800,GSM / CDMA / HSPA / EVDO / LTE,154.1,73.3,8.4,"Android 8.1 (Oreo), Nubia UI 6",Qualcomm SDM845 Snapdragon 845 (10 nm),Octa-core (4x2.65 GHz Kryo 385 Gold & 4x1.8 GHz Kryo 385 Silver),Adreno 630,No,Yes,No,Wi-Fi,5.0,Yes,No,450
ZTE,nubia Red Magic Mars,2018,November,"436,223",130,6.0,1080,2160,16,2160p,64GB,6GB,3800,GSM / CDMA / HSPA / EVDO / LTE,158.2,75,9.9,"Android 9.0 (Pie), Redmagic 1.0",Qualcomm SDM845 Snapdragon 845 (10 nm),Octa-core (4x2.8 GHz Kryo 385 Gold & 4x1.7 GHz Kryo 385 Silver),Adreno 630,No,Yes,Yes,Wi-Fi,5.0,Yes,No,420
ZTE,Blade V10 Vita,2019,February,"71,425",4,6.26,720,1520,13,1080p,32GB,2GB,3200,GSM / HSPA / LTE,157.1,75.8,8.1,Android 9.0 (Pie),Unisoc SC9863A (28nm),Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),IMG8322,microSDXC,Yes,Yes,Wi-Fi,4.2,Yes,FM,
ZTE,Blade V10,2019,February,"152,809",16,6.3,1080,2280,16,1080p,32GB,3GB,3200,GSM / HSPA / LTE,157.8,75.2,7.8,"Android 9.0 (Pie), MiFavor 9.0",Mediatek MT6771V Helio P70 (12nm),Octa-core (4x2.1 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53),Mali-G72 MP3,microSDXC,Yes,Yes,Wi-Fi,4.2,Yes,FM,
ZTE,Axon 10 Pro,2019,February,"314,026",107,6.47,1080,2340,48,2160p,128GB,6GB,4000,GSM / CDMA / HSPA / LTE,159.2,73.4,7.9,"Android 9.0 (Pie), upgradable to Android 10, MiFavor 10.0",Qualcomm SM8150 Snapdragon 855 (7 nm),Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),Adreno 640,microSDXC,Yes,No,Wi-Fi,5.0,Yes,No,470
BenQ-Siemens,S88,2006,January,"494,886",11,2.0,176,220,2,Video recorder,20MB,,920,GSM,99,47,17,,,,,microSD,No,No,No,Yes,No,No,
BenQ-Siemens,EF81,2006,January,"566,052",13,2.2,240,320,2,Video recorder,64MB,,950,GSM / UMTS,94,51,15.9,,,,,microSD,No,No,No,Yes,No,No,
BenQ-Siemens,EF51,2006,February,"308,937",8,2.2,120,128,1,No video recorder,20MB,,870,GSM,89,49,18,,,,,miniSD,No,No,No,1.2,No,FM,
BenQ-Siemens,S81,2006,February,"283,540",9,2.0,176,220,1,Video recorder,30MB,,920,GSM / UMTS,109,48,13,,,,,microSD,No,No,No,1.1,No,No,
BenQ-Siemens,EF91,2006,February,"170,371",8,2.0,240,320,3,Video recorder,32MB,,1000,GSM / HSPA,92,46.5,23.5,,,,,microSD,No,No,No,1.2,No,No,
BenQ-Siemens,E61,2006,March,"292,726",7,1.8,128,160,,No video recorder,1MB,,840,GSM,101,44,17,,,,,miniSD,No,No,No,No,No,No,
Bird,V79,2005,,"48,499",5,,128,160,,No video recorder,,,1620,GSM,87,43,21,,,,,No,No,No,No,No,No,No,
Bird,S699,2005,,"46,775",6,,120,128,,No video recorder,,,1620,GSM,104.3,44,15.7,,,,,No,,No,No,No,No,No,
Bird,S799,2005,,"61,695",6,,120,128,,No video recorder,,,1620,GSM,83.5,45.5,21.5,,,,,No,,No,No,No,No,FM,
Bird,V109,2005,,"47,246",5,,128,160,1,Video recorder,,,1620,GSM,82.9,43,21.7,,,,,No,No,No,No,No,No,No,
Bird,M19,2005,,"54,608",7,,128,160,,No video recorder,32MB,,1620,GSM,106,44,15.2,,,,,No,No,No,No,No,No,No,
Bird,MP300,2005,,"89,156",5,,120,160,,No video recorder,128MB,,1620,GSM,108,44,19.5,,,,,No,No,No,No,No,No,No,
Bird,S299,2005,,"49,790",6,,112,80,,No video recorder,,,900,GSM,104,44,14,,,,,No,,No,No,No,No,FM,
Bird,S198,2005,,"46,560",6,,112,64,,No video recorder,,,900,GSM,104.3,42.6,15,,,,,No,,No,No,No,No,No,
Bird,S798,2005,,"44,939",5,,128,128,,No video recorder,,,900,GSM,83.5,45.5,21.5,,,,,No,,No,No,No,No,FM,
Bird,S698,2005,,"47,048",5,,128,128,,No video recorder,,,900,GSM,104.3,15.7,44,,,,,No,,No,No,No,No,No,
Bird,S890,2005,,"53,725",6,,128,160,1,No video recorder,,,900,GSM,,,,,,,,No,No,No,No,No,No,No,
Bird,M08,2005,,"57,984",6,,128,160,,Video recorder,32MB,,900,GSM,87.8,43.3,21.3,,,,,microSD,No,No,No,No,No,No,
Bird,M11,2006,,"54,118",4,,128,128,,No video recorder,32MB,,720,GSM,108,44,15.2,,,,,No,,No,No,No,No,No,
Bird,D660,2006,,"70,084",5,,128,160,1,Video recorder,64MB,,720,GSM,107,45,16.5,,,,,microSD,No,No,No,No,No,No,
Bird,D680,2006,,"79,810",5,,128,160,1,Video recorder,,,720,GSM,88,42,21,,,,,No,No,No,No,No,No,No,
Bird,S296,2007,,"50,313",4,1.4,101,64,,No video recorder,,,500,GSM,105,45,15.7,,,,,No,,No,No,No,No,No,
Bird,S296+,2007,,"47,975",5,1.4,101,64,,No video recorder,,,500,GSM,105,45,15.7,,,,,No,,No,No,No,No,No,
Bird,S667,2007,,"48,342",7,1.5,128,128,,No video recorder,,,500,GSM,104,45.5,15.7,,,,,No,,No,No,No,No,No,
Bird,S668,2007,,"58,682",6,1.5,128,128,,No video recorder,,,500,GSM,104,45.5,15.7,,,,,No,,No,No,No,No,No,
Bird,S669,2007,,"54,506",10,1.5,128,128,,No video recorder,,,500,GSM,104,45.5,15.7,,,,,No,,No,No,No,No,No,
BlackBerry,Bold 9780,2010,October,"10,405,114",78,2.44,480,360,5,Video recorder,256MB,512MB,1500,GSM / HSPA,109,60,14,BlackBerry OS 6.0,,624 MHz,,microSDHC,Yes,Yes,Wi-Fi,2.1,Yes,No,90
BlackBerry,Playbook,2010,September,"3,040,445",50,7.0,600,1024,5,1080p,16GB,1GB,5300,No cellular connectivity,194,130,10,BlackBerry Tablet OS,TI OMAP 4430,Dual-core 1.0 GHz Cortex-A9,PowerVR SGX540,No,Yes,Yes,Wi-Fi,2.1,Yes,No,120
BlackBerry,Playbook Wimax,2010,September,"488,019",13,7.0,600,1024,5,1080p,16GB,1GB,5300,No cellular connectivity,194,130,10,BlackBerry Tablet OS,TI OMAP 4430,Dual-core 1.0 GHz Cortex-A9,PowerVR SGX540,No,Yes,Yes,Wi-Fi,2.1,No,No,
BlackBerry,4G Playbook HSPA+,2011,February,"1,126,693",15,7.0,600,1024,5,1080p,16GB,1GB,5300,GSM / HSPA,194,130,10,BlackBerry Tablet OS,TI OMAP 4430,Dual-core 1.0 GHz Cortex-A9,PowerVR SGX540,No,Yes,Yes,Wi-Fi,2.1,No,No,
BlackBerry,Bold Touch 9930,2011,May,"3,381,269",30,2.8,640,480,5,720p,8GB,768MB,1230,GSM / CDMA / HSPA / EVDO,115,66,10.5,BlackBerry OS 7.0,,1.2 GHz QC 8655,,microSDHC,Yes,Yes,Wi-Fi,2.1,Yes,No,120
BlackBerry,Bold Touch 9900,2011,May,"12,232,232",195,2.8,640,480,5,720p,8GB,768MB,1230,GSM / HSPA,115,66,10.5,BlackBerry OS 7.0,,1.2 GHz QC 8655,,microSDHC,Yes,Yes,Wi-Fi,2.1,Yes,No,140
BlackBerry,Torch 9850,2011,August,"2,028,651",15,3.7,480,800,5,720p,4GB,768MB,1230,GSM / CDMA / HSPA / EVDO,120,62,11.5,BlackBerry OS 7,Qualcomm MSM8655 Snapdragon S2,1.2 GHz Scorpion,Adreno 205,microSDHC,Yes,Yes,Wi-Fi,2.1,Yes,No,130
BlackBerry,Torch 9860,2011,August,"5,722,617",53,3.7,480,800,5,720p,4GB,768MB,1230,GSM / HSPA,120,62,11.5,BlackBerry OS 7,,1.2 GHz QC 8655,,microSDHC,Yes,Yes,Wi-Fi,2.1,Yes,No,130
BlackBerry,Torch 9810,2011,August,"5,472,098",69,3.2,480,640,5,720p,8GB,768MB,1270,GSM / HSPA,111,62,14.6,BlackBerry OS 7.0,,1.2 GHz,,microSDHC,Yes,Yes,Wi-Fi,2.1,Yes,No,120
BlackBerry,Curve 9350,2011,August,"1,369,037",17,2.44,480,360,5,480p,512MB,512MB,1000,CDMA / EVDO,109,60,11,BlackBerry OS 7.0,,800 MHz,,microSDHC,Yes,Yes,Wi-Fi,2.1,Yes,No,50
BlackBerry,Curve 9360,2011,August,"8,060,424",56,2.44,480,360,5,480p,512MB,512MB,1000,GSM / HSPA,109,60,11,BlackBerry OS 7.0,,800MHz,,microSDHC,Yes,Yes,Wi-Fi,2.1,Yes,No,90
BlackBerry,Curve 9370,2011,August,"1,846,962",23,2.44,480,360,5,480p,1GB,512MB,1000,GSM / CDMA / EVDO,109,60,11,BlackBerry OS 7.0,,800 MHz,,microSDHC,Yes,Yes,Wi-Fi,2.1,Yes,No,90
BlackBerry,Porsche Design P'9981,2011,October,"3,927,769",64,2.8,640,480,5,720p,8GB,768MB,1230,GSM / HSPA,115,67,11.3,BlackBerry OS 7.0,Qualcomm MSM8655 Snapdragon S2,1.2 GHz,Adreno 205,microSDHC,Yes,Yes,Wi-Fi,2.1,Yes,No,800
BlackBerry,Bold 9790,2011,November,"8,387,259",87,2.45,480,360,5,480p,8GB,768MB,1230,GSM / HSPA,110,60,11.4,BlackBerry OS 7.0,,Marvel Tavor MG1 1.0 GHz,,microSDHC,Yes,Yes,Wi-Fi,2.1,Yes,No,130
BlackBerry,Curve 9380,2011,November,"5,002,586",48,3.2,360,480,5,480p,512MB,512MB,,GSM / HSPA,109,60,11.2,BlackBerry OS 7.0,,806 MHz,,microSDHC,Yes,Yes,Wi-Fi,2.1,Yes,No,120
BlackBerry,Curve 9220,2012,April,"5,970,608",46,2.44,320,240,2,Video recorder,512MB,512MB,1450,GSM,109,60,12.7,BlackBerry OS 7.1,,,,microSDHC,Yes,Yes,Wi-Fi,2.1,No,Stereo,80
BlackBerry,Curve 9320,2012,May,"8,714,834",96,2.44,320,240,3,Video recorder,512MB,512MB,1450,GSM / HSPA,109,60,12.7,BlackBerry OS 7.1,,,,microSDHC,Yes,Yes,Wi-Fi,2.1,Yes,Stereo,110
BlackBerry,Q10,2013,January,"11,620,110",614,3.1,720,720,8,1080p,16GB,2GB,2100,GSM / CDMA / HSPA / LTE,119.6,66.8,10.4,"BlackBerry OS 10, upgradable to 10.3.1",Snapdragon S4 (LTE version)/ TI OMAP 4470 (Non-LTE),Dual-core 1.5 GHz Krait (LTE version)/ Cortex-A9 (Non-LTE),Adreno 225  (LTE version)/ PowerVR SGX544 (Non-LTE),microSDXC,Yes,Yes,Wi-Fi,4.0,Yes,FM,110
BlackBerry,Z10,2013,January,"26,233,036",1044,4.2,768,1280,8,1080p,16GB,2GB,1800,GSM / CDMA / HSPA / LTE,130,65.6,,"BlackBerry OS 10, upgradable to 10.3.1",Qualcomm MSM8960 Snapdragon S4 Plus,Dual-core 1.5 GHz Krait,Adreno 225,microSDXC,Yes,Yes,Wi-Fi,4.0,Yes,No,120
BLU,C4,2018,August,"49,262",0,4.0,480,800,5,720p,8GB,512MB,1300,GSM / HSPA,124.3,64.2,10.9,Android 8.1 Oreo (Go edition),,Quad-core 1.3 GHz,Mali-400,microSDXC,Yes,Yes,Wi-Fi,2.1,Yes,FM,50
BLU,C5,2018,August,"65,268",3,5.0,480,854,5,720p,8GB,1GB,1300,GSM / HSPA,144.3,72.5,10.3,Android 8.1 Oreo (Go edition),,Quad-core 1.3 GHz Cortex-A7,Mali-400,microSDXC,Yes,Yes,Wi-Fi,2.1,Yes,FM,60
BLU,Vivo XI+,2018,August,"202,579",27,6.2,1080,2246,16,1080p,64GB,4GB,3050,GSM / HSPA / LTE,155,75.5,7.8,"Android 8.1 (Oreo), upgradable to Android 9.0 (Pie)",Mediatek MT6771 Helio P60 (12 nm),Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53),Mali-G72 MP3,microSDXC,Yes,No,Wi-Fi,4.1,Yes,FM,330
BLU,Vivo XI,2018,September,"132,029",9,5.9,720,1520,16,1080p,32GB,3GB,3000,GSM / HSPA / LTE,149,72.9,7.9,"Android 8.1 (Oreo), upgradable to Android 9.0 (Pie)",Mediatek MT6762 Helio P22 (12 nm),Octa-core 2.0 GHz Cortex-A53,PowerVR GE8320,microSDXC,Yes,Yes,Wi-Fi,4.1,Yes,FM,200
BlackBerry,4G LTE Playbook,2012,August,"1,562,860",40,7.0,600,1024,5,1080p,32GB,1GB,,HSPA / LTE,194,130,10,BlackBerry Tablet 2.0,,Dual-core 1.5 GHz,,No,Yes,Yes,Wi-Fi,3.1,Yes,No,470
BLU,Advance L4,2018,September,"61,598",1,4.0,480,800,5,720p,8GB,512MB,1300,GSM / HSPA,124.3,65.2,10.4,Android 8.1 Oreo (Go edition),,Quad-core 1.3 GHz Cortex-A7,Mali-400,microSDXC,Yes,Yes,Wi-Fi,2.1,Yes,FM,50
BLU,Grand M2 (2018),2018,October,"44,980",0,5.2,720,1280,8,1080p,8GB,1GB,2600,GSM / HSPA,144.9,72.1,9.4,Android 8.1 Oreo (Go edition),Mediatek MT6580 (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,microSDXC,Yes,Yes,Wi-Fi,4.0,Yes,FM,
BLU,Studio Mega (2018),2018,October,"118,547",7,6.0,720,1440,13,1080p,16GB,1GB,2600,GSM / HSPA,156.7,75.2,8.4,Android 8.1 Oreo (Go edition),Mediatek MT6580 (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,microSDXC,Yes,Yes,Wi-Fi,4.0,Yes,FM,100
BLU,Vivo Go,2018,December,"73,081",5,6.0,720,1440,8,1080p,16GB,1GB,2600,GSM / HSPA / LTE,156.7,75.2,8.4,Android 9.0 Pie (Go edition),Mediatek MT6739 (28 nm),Quad-core 1.5 GHz Cortex-A53,PowerVR GE8100,microSDXC,Yes,Yes,Wi-Fi,4.1,Yes,FM,80
BLU,C6L,2019,January,"33,280",0,5.5,720,1280,8,1080p,16GB,1GB,2500,GSM / HSPA / LTE,154.4,78.6,10.4,Android 8.1 Oreo (Go edition),,Quad-core 1.4 GHz Cortex-A53,Mali-400,microSDXC,Yes,Yes,Wi-Fi,4.2,Yes,FM,80
BLU,Vivo One Plus (2019),2019,January,"135,431",7,6.2,720,1500,13,1080p,16GB,2GB,3000,GSM / HSPA / LTE,156.7,75.2,8.3,Android 8.1 (Oreo),Mediatek MT6739 (28 nm),Quad-core 1.3 GHz Cortex-A53,PowerVR GE8100,microSDXC,Yes,Yes,Wi-Fi,4.0,Yes,FM,120
BLU,Studio X8 HD (2019),2019,February,"42,830",0,5.0,720,1280,8,1080p,8GB,1GB,2000,GSM / HSPA,145.5,74.5,9.8,Android 8.1 Oreo (Go edition),Mediatek MT6580 (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,microSDXC,Yes,Yes,Wi-Fi,4.0,Yes,FM,
BLU,C5L,2019,February,"40,894",0,5.0,480,854,5,1080p,8GB,1GB,2000,GSM / HSPA / LTE,144.3,72.5,10.3,Android 8.1 Oreo (Go edition),,Quad-core 1.4 GHz Cortex-A53,Mali-400,microSDXC,Yes,Yes,Wi-Fi,4.0,Yes,FM,70
BLU,G9,2019,May,"90,759",7,6.3,720,1520,13,1080p,64GB,4GB,4000,GSM / HSPA / LTE,155.4,71.8,,Android 9.0 (Pie),Mediatek MT6762 Helio P22 (12 nm),Octa-core 2.0 GHz Cortex-A53,PowerVR GE8320,microSDXC,Yes,Yes,Wi-Fi,4.0,Yes,FM,180
BLU,G5,2019,July,"30,628",0,5.5,720,1440,13,1080p,32GB,2GB,3000,GSM / HSPA / LTE,150.5,71.5,10.4,Android 9.0 (Pie),,Octa-core 1.6 GHz Cortex-A55,IMG8322,microSDXC,Yes,Yes,Wi-Fi,4.1,Yes,FM,
BLU,G5 Plus,2019,July,"26,653",0,6.0,720,1440,13,1080p,32GB,2GB,3000,GSM / HSPA / LTE,161.4,78,9.6,Android 9.0 (Pie),,Octa-core 1.6 GHz Cortex-A55,IMG8322,microSDXC,Yes,Yes,Wi-Fi,4.1,Yes,FM,
BLU,G6,2019,July,"34,252",0,5.7,720,1440,13,1080p,64GB,3GB,2800,GSM / HSPA / LTE,153,73.4,9.1,Android 9.0 (Pie),,Octa-core 1.6 GHz Cortex-A55,IMG8322,microSDXC,Yes,Yes,Wi-Fi,4.1,Yes,FM,
BLU,G8,2019,July,"49,118",2,6.3,720,1520,13,1080p,64GB,3GB,4000,GSM / HSPA / LTE,161.4,78,9.6,Android 9.0 (Pie),,Octa-core 1.6 GHz Cortex-A55,IMG8322,microSDXC,Yes,Yes,Wi-Fi,4.1,Yes,FM,
ZTE,nubia Red Magic 3,2019,May,"750,932",223,6.65,1080,2340,48,4320p,64GB,6GB,5000,GSM / CDMA / HSPA / EVDO / LTE,171.7,78.5,9.7,"Android 9.0 (Pie), upgradable to Android 10, Redmagic 3.0",Qualcomm SM8150 Snapdragon 855 (7 nm),Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),Adreno 640,No,Yes,Yes,Wi-Fi,5.0,Yes,No,500
ZTE,Blade L8,2019,April,"53,163",1,5.0,480,960,8,720p,16GB,1GB,2000,GSM / HSPA,137.4,67.5,10.5,Android 9.0 Pie (Go edition),Unisoc SC7731E (28nm),Quad-core 1.3 GHz,Mali-T820 MP1,microSDXC,Yes,Yes,Wi-Fi,4.2,Yes,FM,60
ZTE,Blade A3 (2019),2019,April,"78,766",2,5.0,480,960,8,720p,16GB,1GB,2000,GSM / HSPA / LTE,137.4,67.5,10.5,Android 9.0 Pie (Go edition),Unisoc SC9832E (28nm),Quad-core 1.4 GHz,Mali-T820 MP1,microSDXC,Yes,Yes,Wi-Fi,4.2,Yes,FM,60
ZTE,Blade A5 (2019),2019,May,"126,902",6,5.45,720,1440,13,1080p,16GB,2GB,2600,GSM / HSPA / LTE,145.8,70,9.6,Android 9.0 (Pie),Unisoc SC9863A (28nm),Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),IMG8322,microSDXC,Yes,Yes,Wi-Fi,4.2,Yes,FM,80
ZTE,nubia X 5G,2019,July,"169,829",27,6.26,1080,2280,16,2160p,64GB,6GB,3800,GSM / CDMA / HSPA / EVDO / LTE / 5G,-,,,Android 9.0 (Pie),Qualcomm SM8150 Snapdragon 855 (7 nm),Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),Adreno 640,No,Yes,No,Wi-Fi,5.0,Yes,No,
ZTE,Blade 20,2019,October,"115,277",20,6.49,720,1560,16,1080p,128GB,4GB,5000,GSM / CDMA / HSPA / EVDO / LTE,162.9,76.6,,Android 9.0 (Pie),Mediatek MT6771 Helio P60 (12 nm),Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53),Mali-G72 MP3,microSDXC,Yes,Yes,Wi-Fi,5.0,Yes,FM,130
ZTE,nubia Z20,2019,August,"533,473",168,6.42,1080,2340,48,4320p,128GB,6GB,4000,GSM / CDMA / HSPA / EVDO / LTE,158.6,75.3,,"Android 9.0 (Pie), Nubia UI 7",Qualcomm SM8150 Snapdragon 855+ (7 nm),Octa-core (1x2.96 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),Adreno 640 (700 MHz),No,Yes,No,Wi-Fi,5.1,Yes,No,550
ZTE,nubia Red Magic 3s,2019,September,"374,143",116,6.65,1080,2340,48,4320p,128GB,8GB,5000,GSM / CDMA / HSPA / EVDO / LTE,171.7,78.5,9.7,"Android 9.0 (Pie), Redmagic 2.0",Qualcomm SM8150 Snapdragon 855+ (7 nm),Octa-core (1x2.96 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.8 GHz Kryo 485),Adreno 640 (700 MHz),No,Yes,Yes,Wi-Fi,5.0,Yes,No,820
ZTE,Blade A7 Prime,2019,November,"68,945",5,6.09,720,1560,16,1080p,32GB,3GB,3200,GSM / HSPA / LTE,156.7,72.9,8.1,Android 9.0 (Pie),Mediatek MT6761 Helio A22 (12 nm),Quad-core 2.0 GHz Cortex-A53,PowerVR GE8320,microSDXC,Yes,Yes,Wi-Fi,4.2,Yes,FM,90
ZTE,Blade 10 Prime,2019,November,"86,194",6,6.3,1080,2280,16,1080p,64GB,3GB,3200,GSM / HSPA / LTE,158,75.2,7.9,Android 9.0 (Pie),Mediatek MT6771 Helio P60 (12 nm),Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53),Mali-G72 MP3,microSDXC,Yes,Yes,Wi-Fi,4.2,Yes,FM,160
ZTE,Blade Max View,2019,,"46,954",4,6.0,1080,2160,16,1080p,32GB,3GB,4000,GSM / CDMA / HSPA / EVDO / LTE,163.1,74.9,8.1,"Android 7.1.1 (Nougat), upgradable to Android 8.1 (Oreo)",Qualcomm MSM8940 Snapdragon 435 (28 nm),Octa-core 1.4 GHz Cortex-A53,Adreno 505,microSDXC,Yes,Yes,Wi-Fi,4.2,Yes,Unspecified,90
ZTE,Axon 10s Pro 5G,2020,February,"257,661",67,6.47,1080,2340,48,2160p,128GB,6GB,4000,GSM / CDMA / HSPA / LTE / 5G,159.2,73.4,7.9,"Android 10, MiFavor 10",Qualcomm SM8250 Snapdragon 865 (7 nm+),Octa-core (1x2.84 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.8 GHz Kryo 585),Adreno 650,microSDXC,Yes,No,Wi-Fi,5.0,Yes,No,
ZTE,nubia Red Magic 5G,2020,March,"747,439",272,6.65,1080,2340,64,4320p,128GB,8GB,4500,GSM / CDMA / HSPA / EVDO / LTE / 5G,168.6,78,9.8,"Android 10, Redmagic 3.0",Qualcomm SM8250 Snapdragon 865 (7 nm+),Octa-core (1x2.84 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.8 GHz Kryo 585),Adreno 650,No,Yes,Yes,Wi-Fi,5.1,Yes,No,
ZTE,Axon 11 5G,2020,March,"199,685",49,6.47,1080,2340,64,2160p,128GB,6GB,4000,GSM / CDMA / HSPA / LTE / 5G,159.2,73.4,7.9,"Android 10, MiFavor 10",Qualcomm SDM765 Snapdragon 765G (7 nm),Octa-core (1x2.4 GHz Kryo 475 Prime & 1x2.2 GHz Kryo 475 Gold & 6x1.8 GHz Kryo 475 Silver),Adreno 620,microSDXC,Yes,No,Wi-Fi,5.0,Yes,No,
ZTE,Axon 11 4G,2020,June,"84,288",13,6.47,1080,2340,48,1080p,128GB,6GB,4000,GSM / HSPA / LTE,159.2,73.4,7.9,"Android 10, MiFavor 10",Mediatek MT6771 Helio P70 (12nm),Octa-core (4x2.1 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53),Mali-G72 MP3,microSDXC,Yes,No,Wi-Fi,5.0,Yes,,
ZTE,nubia Play,2020,April,"195,435",68,6.65,1080,2340,48,2160p,128GB,6GB,5100,GSM / CDMA / HSPA / LTE / 5G,171.7,78.5,9.1,"Android 10, nubia UI 8.0",Qualcomm SDM765 Snapdragon 765G (7 nm),Octa-core (1x2.4 GHz Kryo 475 Prime & 1x2.2 GHz Kryo 475 Gold & 6x1.8 GHz Kryo 475 Silver),Adreno 620,No,Yes,No,Wi-Fi,5.0,Yes,No,310
ZTE,Axon 11 SE 5G,2020,June,"97,538",14,6.53,1080,2340,48,2160p,128GB,6GB,4000,GSM / CDMA / HSPA / LTE / 5G,162.7,76.3,8.8,"Android 10, MiFavor 10.1",MediaTek MT6873 Dimensity 800 5G (7 nm),Octa-core (4x2.0 GHz Cortex-A76 & 4x2.0 GHz Cortex-A55),Mali-G57MP4,microSDXC,Yes,Yes,Wi-Fi,5.0,Yes,No,250
ZTE,nubia Red Magic 5G Lite,2020,June,"84,210",33,6.65,1080,2340,48,2160p,256GB,8GB,5100,GSM / HSPA / LTE / 5G,171.7,78.5,9.1,"Android 10, nubia UI 8.0",Qualcomm SDM765 Snapdragon 765G (7 nm),Octa-core (1x2.4 GHz Kryo 475 Prime & 1x2.2 GHz Kryo 475 Gold & 6x1.8 GHz Kryo 475 Silver),Adreno 620,No,Yes,No,Wi-Fi,5.0,Yes,No,600
BenQ-Siemens,C81,2006,March,"165,876",8,1.8,132,176,1,Video recorder,23MB,,820,GSM,104,46.5,17.7,,,,,RS,No,No,No,1.2,No,No,
BenQ-Siemens,CF61,2006,March,"170,216",9,1.8,128,160,1,No video recorder,,,750,GSM,88,46,23,,,,,microSD,No,No,No,Yes,No,No,
BenQ-Siemens,CL71,2006,March,"202,566",8,,176,220,1,Video recorder,24MB,,750,GSM,97,46.5,17.8,,,,,microSD,No,No,No,1.2,No,FM,
BenQ-Siemens,EL71,2006,February,"385,841",11,2.0,240,320,1,Video recorder,16MB,,570,GSM,90,46.3,16.5,,,,,microSD,No,No,No,1.2,No,No,
BenQ-Siemens,P51,2006,March,"364,469",8,2.8,240,320,1,144p,64MB,64MB,1370,GSM,122,60,20,Microsoft Windows Mobile 5.0 PocketPC,,32-bit Intel XScale PXA272 416 MHz,,MMC,Yes,No,Wi-Fi,1.2,Yes,No,
BenQ-Siemens,EF71,2006,May,"231,617",10,2.2,176,220,2,Video recorder,24MB,,750,GSM,90,47,18.5,,,,,microSD,No,No,No,Yes,No,No,
BenQ-Siemens,A38,2006,May,"122,165",6,1.4,96,64,,No video recorder,,,860,GSM,103.5,45.5,18.7,,,,,No,,No,No,No,No,No,
BenQ-Siemens,A58,2006,May,"119,321",7,,128,128,,No video recorder,,,820,GSM,102,46,17.6,,,,,No,,No,No,Yes,No,No,
BenQ-Siemens,M81,2006,June,"140,959",9,1.8,132,176,1,Video recorder,27MB,,820,GSM,105.3,47.5,18.4,,,,,RS,No,No,No,Yes,No,No,
BenQ-Siemens,EF61,2006,July,"158,242",9,,128,160,1,No video recorder,,,750,GSM,88,46,23,,,,,microSD,No,No,No,Yes,No,No,
BenQ-Siemens,E81,2006,July,"210,213",9,1.8,176,220,1,144p,16MB,,900,GSM / UMTS,99.8,46.7,16.7,,,,,microSD,No,No,No,Yes,No,No,
BenQ-Siemens,SL91,2006,July,"329,593",8,2.0,240,320,3,Video recorder,64MB,,950,GSM / UMTS,89,47,23,,,,,microSD,No,No,No,Yes,No,Stereo,
