brand,model,release_year,release_month,website_views,website_likes,display_size,display_pixel_width,display_pixel_height,camera_megapixels,video_pixels,memory_gb_size,ram_gb_size,battery_mah_size,network_types,dimension_height,dimension_width,dimension_thickness,os,chipset,cpu,gpu,memory_slot,loudspeaker,audiojack,wifi,bluetooth,gps,radio,price
Nokia,Asha 503 Dual SIM,2013,October,"1,703,534",94,3.0,240,320,5,480p,,,1200,GSM / HSPA,102.6,60.6,12.7,"Nokia Asha software platform 1.2, upgradable to 1.4",,,,microSDHC,Yes,Yes,Wi-Fi,3.0,No,Stereo,100
Nokia,Lumia 2520,2013,October,"2,263,797",394,10.1,1080,1920,6,1080p,32GB,2GB,8120,GSM / HSPA / LTE,267,168,8.9,Microsoft Windows RT,Qualcomm MSM8974 Snapdragon 800 (28 nm),Quad-core 2.2 GHz Krait 400,Adreno 330,microSDXC,Yes,Yes,Wi-Fi,4.0,Yes,No,360
Nokia,Asha 503,2013,October,"2,433,533",86,3.0,240,320,5,480p,,,1200,GSM / HSPA,102.6,60.6,12.7,Nokia Asha software platform 1.2,,,,microSDHC,Yes,Yes,Wi-Fi,3.0,No,Stereo,90
Nokia,Lumia 1320,2013,October,"8,492,533",525,6.0,720,1280,5,1080p,8GB,1GB,3400,GSM / HSPA / LTE,164.2,85.9,9.8,"Microsoft Windows Phone 8, upgradable to 8.1",Qualcomm MSM8230AB Snapdragon 400 (28 nm) (3G model)/ MSM8930AB Snapdragon 400 (28 nm) (LTE model),Dual-core 1.7 GHz Krait 300,Adreno 305,microSDXC,Yes,Yes,Wi-Fi,4.0,Yes,FM,210
Nokia,Lumia 1520,2013,October,"11,229,183",1670,6.0,1080,1920,20,2160p,16GB,2GB,3400,GSM / HSPA / LTE,162.8,85.4,8.7,"Microsoft Windows Phone 8, upgradable to Windows 10",Qualcomm MSM8974 Snapdragon 800 (28 nm),Quad-core 2.2 GHz Krait 400,Adreno 330,microSDXC,Yes,Yes,Wi-Fi,4.0,Yes,FM,350
Nokia,Lumia 525,2013,November,"7,517,160",370,4.0,480,800,5,720p,8GB,1GB,1430,GSM / HSPA,119.9,64,9.9,"Microsoft Windows Phone 8, upgradable to 8.1",Qualcomm MSM8227,Dual-core 1.0 GHz,Adreno 305,microSDXC,Yes,Yes,Wi-Fi,4.0,Yes,FM,120
Nokia,Lumia Icon,2014,February,"2,778,616",406,5.0,1080,1920,20,2160p,32GB,2GB,2420,GSM / CDMA / HSPA / EVDO / LTE,137,71,9.8,"Microsoft Windows Phone 8, upgradable to Microsoft Windows 10",Qualcomm Snapdragon 800 (28 nm),Quad-core 2.2 GHz Krait 400,Adreno 330,No,Yes,Yes,Wi-Fi,4.0,Yes,FM,400
Nokia,Asha 230,2014,February,"1,594,021",50,2.8,240,320,1,240p,64MB,64MB,1020,GSM,99.5,58.6,13.2,"Nokia Asha software platform 1.1.1, upgradable to 1.4",,,,microSDHC,Yes,Yes,No,3.0,A-GPS,Stereo,60
Nokia,X,2014,February,"15,872,637",358,4.0,480,800,3,480p,4GB,512MB,1500,GSM / HSPA,115.5,63,10.4,"Android 4.1.2 (Jelly Bean), X platform 1.1",Qualcomm MSM8225 Snapdragon S4 Play,Dual-core 1.0 GHz Cortex-A5,Adreno 203,microSDHC,Yes,Yes,Wi-Fi,3.0,Yes,Stereo,100
Nokia,220,2014,February,"5,390,951",82,2.4,240,320,2,240p,,,1100,GSM,116.4,50.3,13.2,,,,,microSDHC,No,Yes,No,3.0,No,Stereo,40
Nokia,X+,2014,February,"2,788,842",123,4.0,480,800,3,480p,4GB,768MB,1500,GSM / HSPA,115.5,63,10.4,"Android 4.1.2 (Jelly Bean), X platform 1",Qualcomm MSM8225 Snapdragon S4 Play,Dual-core 1.0 GHz Cortex-A5,Adreno 203,microSDHC,Yes,Yes,Wi-Fi,3.0,Yes,Stereo,120
Oppo,Mirror 5,2015,July,"4,471,820",56,5.0,540,960,8,1080p,16GB,2GB,2420,GSM / HSPA / LTE,143.4,71.2,7.7,"Android 5.1 (Lollipop), ColorOS 2.1",Qualcomm MSM8916 Snapdragon 410 (28 nm),Quad-core 1.2 GHz Cortex-A53,Adreno 306,microSDXC,Yes,Yes,Wi-Fi,4.0,Yes,FM,220
